,,,Any,Rang,Homes,Dones,Total
,,,2002,00-04,216,230,446
,,,2002,05-09,270,252,522
,,,2002,10-14,270,274,544
,,,2002,15-19,324,280,604
,,,2002,20-24,433,373,806
,,,2002,25-29,465,417,882
,,,2002,30-34,433,406,839
,,,2002,35-39,454,439,893
,,,2002,40-44,400,384,784
,,,2002,45-49,346,296,642
,,,2002,50-54,292,274,566
,,,2002,55-59,270,263,533
,,,2002,60-64,281,263,544
,,,2002,65-69,342,329,671
,,,2002,70-74,249,307,556
,,,2002,75-79,195,230,425
,,,2002,80-84,87,175,262
,,,2002,>84,70,175,245
,,,2003,00-04,260,262,522
,,,2003,05-09,282,262,544
,,,2003,10-14,288,285,573
,,,2003,15-19,322,288,610
,,,2003,20-24,429,371,800
,,,2003,25-29,502,439,941
,,,2003,30-34,468,422,890
,,,2003,35-39,480,450,930
,,,2003,40-44,434,405,839
,,,2003,45-49,367,314,681
,,,2003,50-54,316,291,607
,,,2003,55-59,288,288,576
,,,2003,60-64,271,268,539
,,,2003,65-69,300,314,614
,,,2003,70-74,254,322,576
,,,2003,75-79,237,245,482
,,,2003,80-84,90,165,255
,,,2003,>84,63,168,231
,,,2004,00-04,306,296,602
,,,2004,05-09,294,272,566
,,,2004,10-14,306,296,602
,,,2004,15-19,317,296,613
,,,2004,20-24,423,367,790
,,,2004,25-29,541,462,1003
,,,2004,30-34,505,438,943
,,,2004,35-39,505,462,967
,,,2004,40-44,470,426,896
,,,2004,45-49,388,331,719
,,,2004,50-54,341,308,649
,,,2004,55-59,306,314,620
,,,2004,60-64,259,272,531
,,,2004,65-69,253,296,549
,,,2004,70-74,259,337,596
,,,2004,75-79,282,260,542
,,,2004,80-84,94,154,248
,,,2004,85~104,55,160,215
,,,2005,00-04,305,315,620
,,,2005,05-09,299,290,589
,,,2005,10-14,330,315,645
,,,2005,15-19,343,315,658
,,,2005,20-24,457,391,848
,,,2005,25-29,585,492,1077
,,,2005,30-34,578,504,1082
,,,2005,35-39,546,467,1013
,,,2005,40-44,521,492,1013
,,,2005,45-49,426,378,804
,,,2005,50-54,369,353,722
,,,2005,55-59,343,353,696
,,,2005,60-64,318,303,621
,,,2005,65-69,267,296,563
,,,2005,70-74,280,366,646
,,,2005,75-79,191,265,456
,,,2005,80-84,102,177,279
,,,2005,>84,51,177,228
,,,2006,00-04,374,311,685
,,,2006,05-09,374,352,726
,,,2006,10-14,374,311,685
,,,2006,15-19,388,338,726
,,,2006,20-24,471,406,877
,,,2006,25-29,651,527,1178
,,,2006,30-34,644,541,1185
,,,2006,35-39,609,500,1109
,,,2006,40-44,582,494,1076
,,,2006,45-49,499,433,932
,,,2006,50-54,402,379,781
,,,2006,55-59,374,392,766
,,,2006,60-64,346,311,657
,,,2006,65-69,305,311,616
,,,2006,70-74,277,352,629
